,University,Department,Overall Pay,Living Wage Ratio,Academic Year,Program Year,Comments,12M Gross Pay,9M Gross Pay,3M Gross Pay,Fees,Aggregate Department
418,Boston University,school of theology,24600,0.86,2021,1st,,,"$24,600",,,school of theology
419,MIT,civil and environmental engineering,42820,1.53,2021,3rd,,"$43,200",,,$380,civil and environmental engineering
420,Boston University,pibs,36782,1.28,2021,1st,,"$36,782",,,,pibs
421,Tufts University,electrical and computer engineering,34800,1.25,2021,1st,"12 month RA position.<br>Tuition,<br>fees,<br> and basic health insurance covered.","$34,800",,,,electrical and computer engineering
422,Boston University,anthropology,29521,1.03,2021,1st,"Funding for 8 months of academic year and an additional 2 months in the Summer.<br>Dean&#39;s fellowship <span class=""truncated""> for first year.</span>","$29,521",,,,anthropology
423,Boston University,philosophy,29521,1.03,2021,1st,,"$29,521",,,,philosophy
424,Boston University,philosophy,29521,1.03,2021,1st,,"$29,521",,,,philosophy
425,Harvard University,business administration,42660,1.49,2021,,,"$42,660",,,,business administration
426,Harvard University,mechanical engineering,25000,0.87,2021,,,"$25,000",,,,mechanical engineering
427,Northeastern University,computer science,39628,1.38,2021,4th,Includes candidacy pay.,"$40,000",,,$372,computer science
428,MIT,nse,43000,1.54,2021,5th,,"$43,000",,,,nse
429,Northeastern University,marine and environmental science,37400,1.31,2021,3rd,I don&#39;t pay the fees and nothing has ever happened whoops,"$37,900",,,$500,marine and environmental science
430,MIT,electrical engineering and computer science,47044,1.68,2021,5th,,"$47,412",,,$368,electrical engineering and computer science
431,MIT,hasts,43116,1.54,2021,,,"$43,116",,,,hasts
432,Boston University,business administration,36782,1.28,2021,1st,,"$36,782",,,,business administration
433,Northeastern University,psychology,39150,1.37,2021,1st,,"$39,150",,,,psychology
434,Boston University,systems engineering,36782,1.28,2021,1st,,"$36,782",,,,systems engineering
435,Tufts University,child study and human development,23000,0.82,2021,4th,,,"$23,000",,,child study and human development
436,MIT,brain and cognitive sciences,43913,1.57,2021,5th,,"$44,093",,,$180,brain and cognitive sciences
437,Boston University,pharmacology,36000,1.26,2021,,,"$36,000",,,,pharmacology
